elementId	reviewGroup	decisionStatus	targetCategory	roles	disposition	rationale	replacement	migrationGuideAnchor	ownerPhase	notes
method:org.hibernate.dialect.Dialect#getLockingStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	The deprecated selector omits PessimisticLockScope and is superseded by the cohesive entity-locking factory.	getEntityLockingStrategyFactory() with the request's explicit lock scope		Phase 5	Deprecated for removal since 7 with one community override and no consumers; migrate InterSystems IRIS to a standard or version-aware factory profile and include this overload in the versioned locking Migration Guide entry.
method:org.hibernate.dialect.Dialect#buildPessimisticForceIncrementStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode,jakarta.persistence.PessimisticLockScope)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Per-lock-mode protected builders fragment a single strategy-selection policy and expose EntityPersister transitively through the Dialect subclass contract.	Standard entity-locking factory profiles and configurable per-mode strategy selection		Phase 5	No overrides and one internal selector consumer were observed; provide the stock force-increment selection through the supported factory family.
method:org.hibernate.dialect.Dialect#buildPessimisticWriteStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode,jakarta.persistence.PessimisticLockScope)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Per-lock-mode protected builders fragment a single strategy-selection policy and require providers to construct concrete strategy implementations directly.	Standard entity-locking factory profiles supporting SQL-AST, select, and update pessimistic-write strategies		Phase 5	Three community overrides and one internal selector consumer were observed; migrate Cache, RDMS, and TimesTen to the stock update profile and document the custom-factory escape hatch.
method:org.hibernate.dialect.Dialect#buildPessimisticReadStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode,jakarta.persistence.PessimisticLockScope)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Per-lock-mode protected builders fragment a single strategy-selection policy and require providers to construct concrete strategy implementations directly.	Standard entity-locking factory profiles supporting SQL-AST, select, and update pessimistic-read strategies		Phase 5	Three community overrides and one internal selector consumer were observed; migrate Cache, RDMS, and TimesTen to the stock update profile and document the custom-factory escape hatch.
method:org.hibernate.dialect.Dialect#buildOptimisticForceIncrementStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Per-lock-mode protected builders fragment a single strategy-selection policy and expose EntityPersister transitively through the Dialect subclass contract.	Standard entity-locking factory profiles and configurable per-mode strategy selection		Phase 5	No overrides and one internal selector consumer were observed; provide the stock optimistic force-increment selection through the supported factory family.
method:org.hibernate.dialect.Dialect#buildOptimisticStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Per-lock-mode protected builders fragment a single strategy-selection policy and expose EntityPersister transitively through the Dialect subclass contract.	Standard entity-locking factory profiles and configurable per-mode strategy selection		Phase 5	No overrides and one internal selector consumer were observed; provide the stock optimistic selection through the supported factory family.
method:org.hibernate.dialect.Dialect#buildReadStrategy(org.hibernate.persister.entity.EntityPersister,org.hibernate.LockMode,jakarta.persistence.PessimisticLockScope)	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Per-lock-mode protected builders fragment a single strategy-selection policy and require provider-specific routing to be spread across Dialect callbacks.	Standard entity-locking factory profiles with version-aware routing and a supported custom-factory escape hatch		Phase 5	One HSQL legacy override and one internal selector consumer were observed; migrate its version-dependent select strategy through the family configuration and preserve deliberate custom strategy implementation support.
type:org.hibernate.dialect.Dialect$SizeStrategy	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	The size-resolution contract is a reusable type-system SPI and should not remain a nested member of the already-large Dialect class.	A top-level SizeStrategy interface in a coherent dialect type SPI package		Phase 5	The replacement SPI package supplies implicit USE and the interface declares IMPLEMENT; preserve both resolveSize forms and ensure Size, JdbcType, and JavaType are supported signature elements.
type:org.hibernate.dialect.Dialect$SizeStrategyImpl	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Providers demonstrably customize the standard sizing algorithm through inheritance, but the current non-static inner implementation unnecessarily couples subclass construction to Dialect internals.	A supported StandardSizeStrategy family base bound to its Dialect or a narrow size-default context		Phase 5	Source analysis found eight anonymous provider subclasses with extensive super.resolveSize delegation despite the generated type-level usage count; preserve this pattern through a deliberately limited supported base and migrate all built-in and community Dialects.
method:org.hibernate.dialect.Dialect#getPreferredSqlTypeCodeForArray()	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the default SqlTypes code used for basic arrays and collections when no explicit mapping preference overrides it, and may delegate version-independent cases to the inherited choice.			Phase 5	Eleven overrides, five direct consumers, and provider super-delegation were observed; document that explicit configuration wins, enumerate supported array-capable codes, and keep this distinct from per-element JdbcTypeIndicators resolution.
method:org.hibernate.dialect.Dialect#getPreferredSqlTypeCodeForBoolean()	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the default JDBC or SqlTypes code used for Boolean mappings when no explicit mapping preference overrides it, and may delegate version-supported cases to the inherited BOOLEAN choice.			Phase 5	Seventeen overrides, six direct consumers, and provider super-delegation were observed; document configuration precedence and the supported Boolean-compatible type codes.
method:org.hibernate.dialect.Dialect#supportsBitType()	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	Boolean type selection and registration are controlled by the preferred Boolean type code and type contributions, leaving this legacy capability disconnected from observable ORM behavior.	getPreferredSqlTypeCodeForBoolean() and contributeTypes(...)		Phase 5	Four overrides and no consumers were observed; remove the dead hook and its overrides, and add a versioned Migration Guide entry directing providers to the effective contracts.
method:org.hibernate.dialect.Dialect#getLowercaseFunction()	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects and SQL AST translators use the database-specific lowercase function name when rendering case-folding and emulation SQL.			Phase 4	Two overrides and ten consumers were observed, including community translators; retain the focused grammar hook and document that the result is an unquoted SQL function name rather than a complete invocation pattern.
method:org.hibernate.dialect.Dialect#timestampaddPattern(org.hibernate.query.common.TemporalUnit,jakarta.persistence.TemporalType,org.hibernate.dialect.type.IntervalType)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects supply timestamp-add rendering patterns across temporal units, temporal representations, and native or emulated interval forms, and may delegate supported combinations to a family implementation.			Phase 4	Forty-three overrides, two direct consumers, and provider super-delegation were observed; retain the primary grammar hook, document all three placeholder positions and unsupported-combination behavior, and include IntervalType in the supported provider boundary.
method:org.hibernate.dialect.Dialect#timestampdiffPattern(org.hibernate.query.common.TemporalUnit,jakarta.persistence.TemporalType,jakarta.persistence.TemporalType)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects supply timestamp-difference rendering patterns across temporal units and operand representations and may delegate supported combinations to a family implementation.			Phase 4	Forty-two overrides, five direct consumers, and provider super-delegation were observed; retain the primary grammar hook and document all three placeholder positions, argument order, result-unit semantics, and unsupported-combination behavior.
method:org.hibernate.dialect.Dialect#supportsStandardCurrentTimestampFunction()	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	No Hibernate behavior consults this legacy capability; current-timestamp expression and selection behavior are determined by the active rendering and current-timestamp hooks.	Current timestamp rendering plus getCurrentTimestampSelectString() and isCurrentTimestampSelectStringCallable() where selection is required		Phase 5	Three overrides and no consumers were observed; remove the disconnected method and overrides, and add a versioned Migration Guide entry identifying the effective replacement contracts.
method:org.hibernate.dialect.Dialect#getFunctionalDependencyAnalysisSupport()	TYPE_AND_FUNCTION	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply their database's functional-dependency analysis profile so Hibernate can safely reduce GROUP BY and ORDER BY expressions.			Phase 5	Sixteen overrides and one consumer were observed; retain the focused getter but replace the interface and mutable-looking implementation pair with a supported immutable profile value and named stock profiles in a coherent SPI package.
method:org.hibernate.dialect.Dialect#supportsFetchClause(org.hibernate.query.common.FetchClauseType)	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects declare support independently for each SQL FETCH clause form, and provider translators consult the capability when selecting native rendering or emulation.			Phase 4	Thirteen overrides and fourteen consumers were observed, including provider translators; retain the focused capability and include FetchClauseType in the supported provider boundary with exhaustive per-value compatibility tests.
method:org.hibernate.dialect.Dialect#supportsWindowFunctions()	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects declare native window-function support used by query translation, pagination emulation, temporary-table population, and provider translators.			Phase 4	Thirty-two overrides and fourteen consumers were observed; retain the widely used capability and document that it denotes the baseline window-function feature rather than every optional window clause.
method:org.hibernate.dialect.Dialect#supportsWindowFrames()	TYPE_AND_FUNCTION	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects separately declare support for ROWS, RANGE, and GROUPS frame clauses when baseline window functions exist.			Phase 4	One CUBRID override but no consumers were observed; retain the semantically distinct capability only by wiring it into SQL AST validation or rendering and adding a compatibility test so the SPI promise has observable effect.
method:org.hibernate.dialect.Dialect#getAlterColumnTypeString(java.lang.String,java.lang.String,java.lang.String)	TYPE_AND_FUNCTION	APPROVED	SPI	IMPLEMENT	RETAIN	Provider Dialects render the database-specific ALTER TABLE fragment for changing a column type, or return null when the operation is unsupported.			Phase 5	Sixteen overrides and one schema-migration consumer were observed; make the nullable result the sole capability signal and document the distinct quoted column name, rendered type, and full column-definition inputs.
method:org.hibernate.dialect.Dialect#supportsAlterColumnType()	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REMOVE	A separate Boolean duplicates the nullable alter-column fragment and permits contradictory states between capability and rendering.	A non-null result from getAlterColumnTypeString(String, String, String)		Phase 5	Sixteen overrides paired with the rendering overrides and one consumer were observed; update StandardTableMigrator to call the renderer when a type change is needed, apply only non-null fragments, migrate provider pairs, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getTableTypeString()	TYPE_AND_FUNCTION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render database-specific trailing CREATE TABLE options such as storage-engine or row-locking clauses and may compose or delegate family defaults.			Phase 5	Four overrides, three consumers, and provider super-delegation were observed; retain the focused String hook and document whether leading whitespace belongs to the returned fragment plus its application to persistent temporary tables.
method:org.hibernate.dialect.Dialect#hasDataTypeBeforeGeneratedAs()	DDL_AND_SCHEMA	APPROVED	INTERNAL		REPLACE	Although previously approved as a focused hook, type presence is one of the coupled ordering rules for generated-column definitions and belongs with the column-definition grammar now being consolidated.	ColumnDefinitionSupport generated-column type-presence policy		Phase 5	Three overrides and one schema-rendering consumer were observed; this explicitly supersedes the earlier retention decision, preserves typed and type-inferred grammars, and tests the policy together with generated-clause and nullability ordering.
method:org.hibernate.dialect.Dialect#rowIdSqlType()	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	Although previously approved as a focused primitive hook, the locator type is valid only together with the row-id expression and optional physical declaration now being consolidated.	RowIdSupport locator JDBC or extended SqlTypes code		Phase 5	Nine overrides and two consumers were observed; this supersedes the earlier retention decision, preserves provider-translator access through the supported profile, and validates type availability with the locator expression.
method:org.hibernate.dialect.Dialect#supportsBindingNullSqlTypeForSetNull()	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	This Boolean is one branch of a prioritized null-binding policy and can conflict with the independent setObject(null) capability.	getObjectNullBindingStrategy() returning a supported null-binding profile		Phase 5	Four overrides and two consumers were observed; migrate PostgreSQL, H2, MySQL, and GaussDB to the SET_NULL_WITH_NULL_TYPE profile and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsBindingNullForSetObject()	TYPE_AND_FUNCTION	APPROVED	INTERNAL		REPLACE	This Boolean is one branch of a prioritized null-binding policy and its true value silently takes precedence over the setNull capability.	getObjectNullBindingStrategy() returning a supported null-binding profile		Phase 5	One SQL Server override and two consumers were observed; replace the Boolean pair with explicit SET_OBJECT, SET_NULL_WITH_NULL_TYPE, and metadata-derived SET_NULL profiles in a coherent SPI package, update ObjectNullResolvingJdbcType, and add compatibility tests and a versioned Migration Guide entry.
field:org.hibernate.dialect.Dialect#QUOTE	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This is a fixed set of legacy mapping-level quote markers, not database behavior supplied or consumed by a Dialect provider.	Identifier quote-marker recognition or a private internal quote-pair helper		Phase 5	The generated inventory misses the two static field reads in Column and Alias; migrate those internal consumers, remove the public constant from Dialect, and add a versioned Migration Guide entry.
field:org.hibernate.dialect.Dialect#CLOSED_QUOTE	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This is the closing half of the fixed legacy mapping-level quote-marker table, not a provider extension contract.	Identifier quote-marker recognition or a private internal quote-pair helper		Phase 5	The generated inventory misses the two static field reads in Column and Alias; preserve the backtick, double-quote, and bracket pairings internally, remove the public constant from Dialect, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#openQuote()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply their database's identifier opening delimiter, while provider support code may consume it when parsing or rendering identifiers.			Phase 5	Seven overrides and five generated call sites were observed; retain the primitive hook and test both symmetric and asymmetric quote pairs.
method:org.hibernate.dialect.Dialect#closeQuote()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply their database's identifier closing delimiter, while provider support code may consume it when parsing or rendering identifiers.			Phase 5	Seven overrides and five generated call sites were observed; retain the primitive hook and test both symmetric and asymmetric quote pairs.
method:org.hibernate.dialect.Dialect#toQuotedIdentifier(java.lang.String)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects may customize complete identifier rendering for database-specific exceptions and may delegate ordinary identifiers to the inherited delimiter-based implementation.			Phase 5	Two Sybase overrides and three call sites were observed; retain the nullable focused rendering hook and cover the Sybase temporary-table exception as well as normal delegation.
method:org.hibernate.dialect.Dialect#quote(java.lang.String)	GENERAL_CAPABILITY	APPROVED	SPI	USE	RETAIN	Provider-side delegates and rendering helpers need the convenience which converts Hibernate's backtick marker to the active database delimiters, but database variation belongs in the delimiter and complete-rendering hooks.			Phase 5	No overrides and nine call sites were observed, including a community UniqueDelegate; retain it as a provider convenience but make it non-overridable, precisely document its marker-conversion semantics, and add a Migration Guide note for any unsupported override.
method:org.hibernate.dialect.Dialect#quoteCollation(java.lang.String)	GENERAL_CAPABILITY	APPROVED	SPI	IMPLEMENT	RETAIN	Provider Dialects customize whether and how a collation name is quoted in a column definition independently of general identifier quoting.			Phase 5	Three overrides and one schema-rendering consumer were observed; retain the focused rendering hook and test both the inherited pass-through and quoted database forms.
method:org.hibernate.dialect.Dialect#appendBinaryLiteral(org.hibernate.sql.ast.spi.SqlAppender,byte[])	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render binary literals using database-specific introducers, encodings, and casts, and provider translators or JDBC literal formatters may invoke the renderer.			Phase 5	Twelve overrides and one generated consumer were observed; retain the focused appender hook and cover representative hexadecimal, function, and cast forms without exposing an intermediate String contract.
method:org.hibernate.dialect.Dialect#appendBooleanValueString(org.hibernate.sql.ast.spi.SqlAppender,boolean)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render database-specific Boolean literal expressions and provider translators may append them directly without allocating an intermediate String.			Phase 5	Twenty-one overrides and five consumers were observed, including provider super-delegation; retain this as the sole Boolean-literal implementation hook and test native Boolean and numeric emulation forms.
method:org.hibernate.dialect.Dialect#appendIntervalLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.time.Duration)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects and provider JDBC types may render duration literals using database-specific interval syntax while delegating supported forms to the inherited SQL-oriented implementation.			Phase 5	No overrides and three consumers were observed; retain the focused duration hook because interval syntax is database behavior, and add coverage for whole-unit and fractional-second forms, including the inherited renderer's duplicated interval introducer path.
method:org.hibernate.dialect.Dialect#appendIntervalLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.time.temporal.TemporalAmount)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider translators render general temporal amounts through a database-specific interval hook which dispatches durations and calendar periods.			Phase 5	No overrides and one SQL AST translator consumer were observed; retain the general hook so providers can customize period or combined-unit syntax, and test Duration delegation, Period rendering, and unsupported TemporalAmount behavior.
method:org.hibernate.dialect.Dialect#appendLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.lang.String)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render string literals with database-specific escaping rules, and provider functions and translators may invoke the same renderer.			Phase 5	Four overrides and nine consumers were observed, including community JSON renderers; retain the focused appender hook and test standard escaping plus MySQL-style escape behavior.
method:org.hibernate.dialect.Dialect#appendUUIDLiteral(org.hibernate.sql.ast.spi.SqlAppender,java.util.UUID)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render UUID literals using database-specific casts, functions, or native syntax, and provider JDBC literal formatters may invoke the renderer.			Phase 5	Three overrides and one generated consumer were observed; retain the focused appender hook and cover native UUID, binary-oriented, and cast-based forms.
method:org.hibernate.dialect.Dialect#toBooleanValueString(boolean)	GENERAL_CAPABILITY	APPROVED	SPI	USE	RETAIN	Provider translators and legacy SQL rendering helpers sometimes require the complete Boolean literal as a String, but all database variation is already expressed by appendBooleanValueString(...).			Phase 5	No overrides and two consumers were observed; retain it as a non-overridable convenience delegating to the supported appender hook, and add a Migration Guide note for any unsupported override.
method:org.hibernate.dialect.Dialect#currentDate()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render the current or local date expression used to register the HQL and JPQL temporal functions and may reuse it in provider SQL rendering.			Phase 5	Eleven overrides and one registry consumer were observed; retain the focused expression hook and document that the result is a complete unparenthesized SQL expression.
method:org.hibernate.dialect.Dialect#currentTime()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render the legacy JDBC current-time expression whose no-time-zone semantics may differ from the ANSI current_time expression.			Phase 5	Twenty-two overrides and three consumers were observed, including provider delegation; retain the focused hook and test its deliberate semantic relationship to currentLocalTime().
method:org.hibernate.dialect.Dialect#currentTimestamp()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render the legacy JDBC current-timestamp expression whose no-time-zone semantics may differ from ANSI current_timestamp and which is reused by generated-value and temporal mapping support.			Phase 5	Twenty-six overrides and twenty-one consumers were observed, including provider delegation; retain the focused hook and document expression type and stability separately.
method:org.hibernate.dialect.Dialect#currentLocalTime()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render the no-time-zone local-time expression and may delegate to currentTime() where the database uses the same expression.			Phase 5	Four overrides and one registry consumer were observed; retain the focused semantic hook and test both inherited delegation and distinct local-time syntax.
method:org.hibernate.dialect.Dialect#currentLocalTimestamp()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render the no-time-zone local-timestamp expression and may delegate to currentTimestamp() where the database uses the same expression.			Phase 5	Four overrides and four consumers were observed, including provider delegation; retain the focused semantic hook and test both inherited delegation and distinct local-timestamp syntax.
method:org.hibernate.dialect.Dialect#currentTimestampWithTimeZone()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render the current timestamp-with-time-zone expression used for OffsetDateTime semantics and may share it with another current temporal expression where database typing permits.			Phase 5	Thirteen overrides and seven consumers were observed, including provider delegation; retain the focused semantic hook and document that the result type, not merely its spelling, distinguishes it from currentTimestamp().
method:org.hibernate.dialect.Dialect#supportsCurrentTimestampSelection()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	This unconsumed Boolean duplicates the availability of current-timestamp retrieval and permits contradictory combinations with the command and callable hooks.	A nullable getCurrentTimestampSelection() profile containing the command and JDBC callable flag		Phase 5	Twenty-nine overrides and no consumers were observed; migrate each three-method provider set to one optional immutable profile and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getCurrentTimestampSelectString()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	The retrieval command and its JDBC preparation mode are one atomic provider-supplied selection strategy and should not be independently overridable.	A nullable getCurrentTimestampSelection() profile containing the command and JDBC callable flag		Phase 5	Thirty overrides and one consumer were observed; migrate CurrentTimestampGeneration to obtain and validate one selection profile, and cover absent, prepared-statement, and callable forms.
method:org.hibernate.dialect.Dialect#isCurrentTimestampSelectStringCallable()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	This Boolean is meaningful only together with the current-timestamp selection command and can currently contradict its availability.	A nullable getCurrentTimestampSelection() profile containing the command and JDBC callable flag		Phase 5	Twenty-nine overrides and one consumer were observed; migrate paired overrides into the immutable selection profile and add compatibility tests and a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#isCurrentTimestampStable()	GENERAL_CAPABILITY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects declare whether the current-timestamp expression is transaction-stable, which controls temporal changeset identity independently of how a timestamp is selected through JDBC.			Phase 5	Six overrides and two consumers were observed; retain the distinct capability and test stable and volatile database semantics separately from the selection profile.
method:org.hibernate.dialect.Dialect#buildSQLExceptionConversionDelegate()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply vendor-specific SQLException conversion in addition to Hibernate's standard JDBC hierarchy and SQL-state delegates, and family implementations may delegate an unsupported version to the inherited null result.			Phase 5	Thirty-three overrides and two consumers were observed; retain the nullable focused factory and explicitly classify SQLExceptionConversionDelegate for provider implementation as well as use.
method:org.hibernate.dialect.Dialect#getViolatedConstraintNameExtractor()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply vendor-message constraint-name extraction used both by their own conversion delegates and by Hibernate's standard conversion chain.			Phase 5	Thirty overrides and twenty-six consumers were observed, mostly provider delegates; retain the focused getter and explicitly classify ViolatedConstraintNameExtractor for provider implementation as well as use.
method:org.hibernate.dialect.Dialect#causesRollback(java.sql.SQLException)	GENERAL_CAPABILITY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects determine whether a particular failed statement causes the database transaction itself to enter rollback-only state, independently of how the exception is converted.			Phase 5	Two overrides and two consumers were observed; retain the SQLException parameter to preserve conditional provider policies even though the current PostgreSQL-family overrides return true for every exception, and test both transaction-state outcomes.
method:org.hibernate.dialect.Dialect#buildIdentifierHelper(org.hibernate.engine.jdbc.env.spi.IdentifierHelperBuilder,java.sql.DatabaseMetaData)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects configure or supply identifier normalization using driver metadata, registered keywords, database casing, and qualification rules, and family implementations commonly delegate to the inherited builder path.			Phase 5	Twenty-nine overrides and thirty-two consumers were observed, predominantly provider super-delegation; retain the nullable focused builder hook and ensure IdentifierHelper and IdentifierHelperBuilder have the roles required by provider implementations.
method:org.hibernate.dialect.Dialect#getCatalogSeparator()	GENERAL_CAPABILITY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the separator used between catalog and following name parts when JDBC metadata is unavailable or insufficient.			Phase 5	One Informix override and one environment consumer were observed; retain the focused scalar capability and test the standard dot and Informix colon forms.
method:org.hibernate.dialect.Dialect#getKeywords()	GENERAL_CAPABILITY	APPROVED	SPI	USE	RETAIN	Provider identifier helpers and SQL renderers may inspect the completed normalized keyword set, but mutation must occur only through the supported registration lifecycle.			Phase 5	No overrides and three consumers were observed, including a community identifier helper; retain it as a non-overridable read-only view and return an immutable Set so callers cannot mutate Dialect construction state.
method:org.hibernate.dialect.Dialect#getMaxAliasLength()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the safe length Hibernate may use for generated SQL aliases after reserving suffix space, and provider rendering helpers may use the same limit.			Phase 5	Twelve overrides and one consumer were observed; retain the focused limit, distinguish it from the database identifier limit, and test generated alias truncation and suffix preservation.
method:org.hibernate.dialect.Dialect#getMaxIdentifierLength()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the database's general identifier-length limit, while provider type and temporary-object support may use it when constructing auxiliary names.			Phase 5	Twenty-five overrides and three consumers were observed, including a Dialect-specific JDBC type; retain the focused limit and test temporary-table, CTE, and auxiliary-type name truncation.
method:org.hibernate.dialect.Dialect#registerDefaultKeywords()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	ANSI keyword initialization is invariant Hibernate construction work, while overriding a method from the superclass constructor creates a fragile provider lifecycle solely to append vendor words.	Internal non-overridable ANSI initialization plus protected registerKeyword(String) and registerKeywords(String...) provider helpers		Phase 5	Eighteen overrides and twenty consumers were observed; migrate vendor additions to provider construction, remove the overridable constructor hook, preserve superclass-before-provider ordering, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#registerKeyword(java.lang.String)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects register normalized vendor keywords during construction and may filter inaccurate driver-reported words before they enter the completed set.			Phase 5	One MariaDB filtering override and twenty generated consumers were observed despite many source-level calls; retain the protected hook, document construction-only use and lowercase normalization, and add a protected bulk registration convenience.
method:org.hibernate.dialect.Dialect#registerKeywords(org.hibernate.engine.jdbc.dialect.spi.DialectResolutionInfo)	GENERAL_CAPABILITY	APPROVED	SPI	USE	RETAIN	Provider constructors which delegate through a DatabaseVersion-based family constructor need a supported convenience for importing driver-reported keywords from DialectResolutionInfo.			Phase 5	No overrides and twenty-nine provider constructor consumers were observed; retain it as a non-overridable protected convenience which dispatches each word through registerKeyword(String), and document null or empty metadata behavior.
method:org.hibernate.dialect.Dialect#addSqlHintOrComment(java.lang.String,org.hibernate.query.spi.QueryOptions,boolean)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	This broad execution-level orchestration hook exposes QueryOptions and is overridden only to reverse the relative order of a query hint and user comment.	Internal query-decoration orchestration plus a focused getQueryHintPlacement() SPI capability		Phase 5	Three PostgreSQL-family overrides and two execution consumers were observed; introduce a supported placement enum for hint-before-comment versus hint-after-comment, migrate the duplicated overrides, keep QueryOptions internal to orchestration, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getQueryHintString(java.lang.String,java.util.List)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render and position an ordered set of structured database hints against the complete finalized SQL statement, preserving per-hint boundaries where database syntax requires them.			Phase 5	Five overrides and four consumers were observed; retain this as the primary query-hint rendering hook, document immutable ordered input and unchanged-SQL fallback, and test list-sensitive Cockroach, HANA, and Oracle forms.
method:org.hibernate.dialect.Dialect#getQueryHintString(java.lang.String,java.lang.String)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects render a database-specific combined hint string and list-based implementations may delegate to it after applying their database's separator convention.			Phase 5	Twelve overrides and five consumers were observed, including provider super-delegation; retain the focused compatibility hook and test prefix, statement-keyword, suffix, and USE INDEX placements.
